Lon Lat H AAL
-73.675 5.7819 2457 196.1
-73.6584 5.7819 2479 199
-73.6417 5.7819 2535 196.8
-73.625 5.7819 2525 189.2
-73.6083 5.7819 2249 177.4
-73.5917 5.7819 2043 163.2
-73.575 5.7819 2003 150
-73.5583 5.7819 2273 140.2
-73.5417 5.7819 2457 136.5
-73.525 5.7819 2563 139.8
-73.5084 5.7819 2701 150.2
-73.4917 5.7819 2691 166.5
-73.475 5.7819 2557 186.5
-73.4583 5.7819 2499 208.2
-73.4417 5.7819 2637 229
-73.425 5.7819 2535 247.5
-73.4084 5.7819 2851 262.5
-73.3917 5.7819 3163 273.8
-73.375 5.7819 3489 281.4
-73.3583 5.7819 3201 285.8
-73.3417 5.7819 3177 287.4
-73.325 5.7819 3205 286.3
-73.3083 5.7819 3215 282.8
-73.2917 5.7819 3457 276.6
-73.275 5.7819 3147 267.9
-73.2584 5.7819 2913 256.7
-73.2417 5.7819 2837 243.5
-73.225 5.7819 2711 228.7
-73.2083 5.7819 2749 213.5
-73.1917 5.7819 2953 198.6
-73.175 5.7819 2957 185.1
-73.1584 5.7819 2795 173.5
-73.1417 5.7819 2591 164.1
-73.125 5.7819 2547 157.1
-73.1083 5.7819 2529 152.4
-73.0917 5.7819 2499 149.7
-73.075 5.7819 2491 148.8
-73.0583 5.7819 2493 149.4
-73.0417 5.7819 2485 151.1
-73.025 5.7819 2507 153.5
-73.0084 5.7819 2537 155.8
-72.9917 5.7819 2485 157.2
-72.975 5.7819 2497 156.8
-72.9583 5.7819 2713 154
-72.9417 5.7819 2623 148.8
-72.925 5.7819 2651 141.8
-74.9084 5.7653 709 -10.3
-74.8917 5.7653 833 -6.2
-74.875 5.7653 647 -4.9
-74.8583 5.7653 619 -7
-74.8417 5.7653 439 -11.8
-74.825 5.7653 393 -18.1
-74.8083 5.7653 419 -24
-74.7917 5.7653 325 -28.7
-74.775 5.7653 239 -31.7
-74.7584 5.7653 207 -33.4
-74.7417 5.7653 203 -35.1
-74.725 5.7653 167 -37.8
-74.7083 5.7653 161 -42.1
-74.6917 5.7653 167 -48
-74.675 5.7653 155 -54.3
-74.6584 5.7653 149 -60
-74.6417 5.7653 159 -63.8
-74.625 5.7653 173 -65.2
-74.6083 5.7653 163 -64.5
-74.5917 5.7653 163 -62.7
-74.575 5.7653 165 -61.4
-74.5583 5.7653 167 -62.1
-74.5417 5.7653 173 -65.7
-74.525 5.7653 175 -72
-74.5084 5.7653 181 -79.8
-74.4917 5.7653 185 -87.4
-74.475 5.7653 203 -92.5
-74.4583 5.7653 193 -93.6
-74.4417 5.7653 191 -90
-74.425 5.7653 195 -81.9
-74.4084 5.7653 221 -70.7
-74.3917 5.7653 301 -58.1
-74.375 5.7653 305 -46.1
-74.3583 5.7653 529 -35.8
-74.3417 5.7653 727 -28.3
-74.325 5.7653 643 -23.3
-74.3083 5.7653 623 -20.5
-74.2917 5.7653 771 -19.4
-74.275 5.7653 737 -19.7
-74.2584 5.7653 1133 -21.3
-74.2417 5.7653 991 -24.6
-74.225 5.7653 715 -29.7
-74.2083 5.7653 679 -36.5
-74.1917 5.7653 827 -44.3
-74.175 5.7653 703 -51.6
-74.1584 5.7653 695 -57.1
-74.1417 5.7653 799 -59
-74.125 5.7653 841 -56.7
-74.1083 5.7653 633 -50.3
-74.0917 5.7653 593 -41
-74.075 5.7653 1141 -31.2
-74.0583 5.7653 1589 -23
-74.0417 5.7653 1507 -18.3
-74.025 5.7653 1543 -17.8
-74.0084 5.7653 1615 -20.3
-73.9917 5.7653 1467 -23.7
-73.975 5.7653 1149 -24.3
-73.9583 5.7653 1179 -19
-73.9417 5.7653 1485 -5.2
-73.925 5.7653 1557 18
-73.9084 5.7653 1779 49
-73.8917 5.7653 2053 85.4
-73.875 5.7653 2401 122.1
-73.8583 5.7653 2671 155.8
-73.8417 5.7653 2651 182
-73.825 5.7653 2565 199.6
-73.8083 5.7653 2539 208.4
-73.7917 5.7653 2677 210.3
-73.775 5.7653 2819 208.8
-73.7584 5.7653 2829 206.8
-73.7417 5.7653 2647 207
-73.725 5.7653 2561 210.4
-73.7083 5.7653 2587 216.4
-73.6917 5.7653 2651 223.3
-73.675 5.7653 2659 227.9
-73.6584 5.7653 2675 228
